staff_id,staff_name,role,department,shift_date,shift_type,shift_start_time,shift_end_time,status,notes
DOC-002,Dr. Sara Abdullah,doctor,ER,2026-05-08,Morning,08:00,16:00,Available,demo schedule
DOC-010,Dr. Rami Abdullah,doctor,ER,2026-05-08,Morning,08:00,16:00,Available,demo schedule
DOC-008,Dr. Hassan Othman,doctor,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
DOC-013,Dr. Amal Al-Sayed,doctor,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-050,Nurse Sara Abdullah,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-005,Nurse Ahmed Al-Sayed,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-055,Nurse Layla Yasin,nurse,ER,2026-05-08,Morning,08:00,16:00,Available,demo schedule
NUR-061,Nurse Amal Al-Sayed,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-049,Nurse Ahmed Al-Sayed,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-002,Nurse Huda Abdullah,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-051,Nurse Mona Yasin,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-028,Nurse Sara Othman,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-007,Nurse Mona Yasin,nurse,ER,2026-05-08,Morning,08:00,16:00,Available,demo schedule
NUR-085,Nurse Zahra Al-Sayed,nurse,ER,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
DOC-002,Dr. Sara Abdullah,doctor,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
DOC-028,Dr. Omar Othman,doctor,ER,2026-05-08,Evening,16:00,00:00,Available,demo schedule
DOC-020,Dr. Huda Othman,doctor,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
DOC-013,Dr. Amal Al-Sayed,doctor,ER,2026-05-08,Evening,16:00,00:00,Available,demo schedule
NUR-087,Nurse Mariam Yasin,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-050,Nurse Sara Abdullah,nurse,ER,2026-05-08,Evening,16:00,00:00,On Leave,demo schedule
NUR-085,Nurse Zahra Al-Sayed,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-055,Nurse Layla Yasin,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-005,Nurse Ahmed Al-Sayed,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-051,Nurse Mona Yasin,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-002,Nurse Huda Abdullah,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-007,Nurse Mona Yasin,nurse,ER,2026-05-08,Evening,16:00,00:00,Absent,demo schedule
NUR-049,Nurse Ahmed Al-Sayed,nurse,ER,2026-05-08,Evening,16:00,00:00,Available,demo schedule
NUR-061,Nurse Amal Al-Sayed,nurse,ER,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
DOC-002,Dr. Sara Abdullah,doctor,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
DOC-010,Dr. Rami Abdullah,doctor,ER,2026-05-08,Night,00:00,08:00,Available,demo schedule
DOC-028,Dr. Omar Othman,doctor,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
DOC-013,Dr. Amal Al-Sayed,doctor,ER,2026-05-08,Night,00:00,08:00,Available,demo schedule
NUR-049,Nurse Ahmed Al-Sayed,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-055,Nurse Layla Yasin,nurse,ER,2026-05-08,Night,00:00,08:00,Available,demo schedule
NUR-050,Nurse Sara Abdullah,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-051,Nurse Mona Yasin,nurse,ER,2026-05-08,Night,00:00,08:00,Absent,demo schedule
NUR-002,Nurse Huda Abdullah,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-061,Nurse Amal Al-Sayed,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-085,Nurse Zahra Al-Sayed,nurse,ER,2026-05-08,Night,00:00,08:00,Available,demo schedule
NUR-087,Nurse Mariam Yasin,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-007,Nurse Mona Yasin,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-028,Nurse Sara Othman,nurse,ER,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
DOC-014,Dr. Karim Abdullah,doctor,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
DOC-024,Dr. Sara Othman,doctor,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-067,Nurse Noor Yasin,nurse,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-019,Nurse Zahra Yasin,nurse,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-017,Nurse Amal Al-Sayed,nurse,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-074,Nurse Youssef Abdullah,nurse,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
NUR-080,Nurse Rami Othman,nurse,ICU,2026-05-08,Morning,08:00,16:00,Assigned,demo schedule
DOC-014,Dr. Karim Abdullah,doctor,ICU,2026-05-08,Evening,16:00,00:00,Available,demo schedule
DOC-024,Dr. Sara Othman,doctor,ICU,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-017,Nurse Amal Al-Sayed,nurse,ICU,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-080,Nurse Rami Othman,nurse,ICU,2026-05-08,Evening,16:00,00:00,Available,demo schedule
NUR-019,Nurse Zahra Yasin,nurse,ICU,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-067,Nurse Noor Yasin,nurse,ICU,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
NUR-074,Nurse Youssef Abdullah,nurse,ICU,2026-05-08,Evening,16:00,00:00,Assigned,demo schedule
DOC-024,Dr. Sara Othman,doctor,ICU,2026-05-08,Night,00:00,08:00,Available,demo schedule
DOC-014,Dr. Karim Abdullah,doctor,ICU,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-074,Nurse Youssef Abdullah,nurse,ICU,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-017,Nurse Amal Al-Sayed,nurse,ICU,2026-05-08,Night,00:00,08:00,Assigned,demo schedule
NUR-080,Nurse Rami Othman,nurse,ICU,2026-05-08,Night,00:00,08:00,Available,demo schedule
